"","V161086","V161087","V161092","V161093","V161095","V161096","V161158x","V161267","V161270","V161310b","V161310c","V161310d","V161310e","V161310f","V161342","V161361x","V162031x","V162034a","V162078","V162079","V162171","V162239","V162240","V162241","V162242","V162333","V162334","V162335","V162336","V162337","V162338","V162339","V162340","V162341","V162342"
"3190",70,0,85,40,85,30,1,-9,-9,0,0,0,0,0,-9,-9,-1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"3191",2,85,17,30,15,85,7,48,13,0,0,0,0,0,2,27,1,2,0,100,6,2,2,1,1,4,2,6,2,5,5,5,2,6,5
"3192",3,60,15,40,12,60,7,58,10,0,0,0,0,0,1,11,1,2,4,62,6,2,1,1,2,6,4,6,6,4,6,6,2,5,3
"3193",40,30,50,70,30,30,4,61,15,0,0,1,0,0,1,-9,1,3,20,10,4,2,1,1,1,2,3,6,2,6,4,6,3,6,5
"3194",15,70,0,60,70,70,7,90,10,0,0,0,0,0,1,11,1,2,3,71,7,2,1,1,1,7,6,7,6,6,1,6,1,1,5
"3195",18,62,52,43,18,33,4,88,13,0,0,0,0,0,1,21,1,2,33,70,4,1,1,2,1,6,3,6,3,7,3,6,2,6,3
"3196",60,0,85,60,60,15,3,32,13,0,0,0,0,0,1,24,1,1,70,1,2,1,1,2,1,3,3,6,4,7,6,7,2,6,1
"3197",3,62,4,22,21,64,6,28,13,0,0,0,0,0,1,22,1,2,1,61,6,2,2,1,1,6,2,6,2,6,1,6,1,5,2
"3198",0,60,15,0,40,85,6,-9,14,-9,-9,-9,-9,-9,1,20,1,-1,15,60,6,2,1,2,1,4,4,4,4,5,7,7,4,6,4
"3199",60,0,60,40,60,15,3,62,10,0,1,0,0,0,1,2,-1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"3200",60,0,70,85,70,30,1,78,16,0,0,0,0,0,2,1,1,1,70,15,2,1,1,2,1,6,2,6,2,5,5,7,1,7,5
"3201",85,2,98,85,85,41,2,63,14,0,0,0,0,0,2,26,1,1,86,0,2,1,1,2,1,6,1,6,2,6,5,7,1,7,3
"3202",85,15,90,80,90,40,1,54,10,0,0,0,0,0,2,4,1,1,85,15,2,2,2,2,1,3,4,2,6,4,5,5,3,3,2
"3203",85,10,100,85,85,15,1,58,9,0,0,1,0,0,2,12,-1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
"3204",61,42,60,61,71,61,2,81,9,0,0,0,0,0,1,26,1,1,59,51,4,2,2,1,1,4,5,5,4,5,6,6,3,6,4
